genus	A	B	C	D	E	F	G	H	I	Z
Enhydrobacter	0.003168081	0.002700383	0.00205083	0.003739879	0.003518314	0.001016422	0.004399749	0.002569521	0.003008028	0.003674645
Ruminococcaceae_NK4A214_group	0.001920049	0.001412783	0.006842489	0	0.003569304	0.001973055	0.00317965	0.000946666	0.004079638	0.000198629
Prevotella_7	0.002611267	0.000840516	0.002702495	0.002360118	0.000832838	0.003487723	0.005139202	0.001115713	0.003064428	9.93E-05
Proteus	0.005356937	0	0.001974163	0.004066664	0.002141582	0	0.001571339	0	0.003196029	0.001804218
Lachnoclostridium	0.004051304	0.000500733	0.001073332	1.82E-05	0.004113198	0.003228635	0.001719229	0.003178091	0.00321483	0.000612441
Gemmobacter	5.76E-05	0.000393433	0.006171656	0.00034494	0.003042407	1.99E-05	1.85E-05	0.002586425	0.000752007	0.000446916
Lactococcus	0.006796974	0.002950749	0.002798329	0.002051487	0.001716665	0.000558036	0.002606574	0.002146902	0.000902408	0.000976595
Prevotella_2	0.00078722	0.001591616	0.005059992	0.004320831	0.003212374	0.000777264	0.002680519	1.69E-05	0.001560414	0.001026252
[Eubacterium]_coprostanoligenes_group	0.000288007	0.003165349	0.002874995	0	0	0.001614318	0.00227382	0.004226185	0.003177229	0
Ruminiclostridium_5	0	0.001090883	0.001130831	0.001089285	1.70E-05	0.001016422	0.001220098	0	0.000451204	0
Ruminococcaceae_UCG-005	0.001900849	0.000411317	0.003948327	0.00107113	0.003161384	0.002770249	0.008725552	0.002823092	0.001316012	0
uncultured_bacterium_f_Desulfovibrionaceae	0.002860873	0.002521549	0.003679994	0.004901783	0.004317158	1.99E-05	0.002181388	0.00231595	0	0.000893833
Brevundimonas	0.006873776	0.000572267	0.002894162	0.000308631	0	0.000697545	0	0.006373088	0.00221842	0.001191777
[Eubacterium]_xylanophilum_group	0	0.00069745	1.92E-05	0.001234523	0.001461715	0.000577966	0.00096129	1.69E-05	0	0
Clostridium_sensu_stricto_1	0.002611267	0.004184699	0.002299996	0.004230057	0.000424917	0.002531091	0.001386475	8.45E-05	0.002744825	0
Enterococcus	0.01092508	0.000876283	0.000824165	0.000236012	0.001121781	0.001116071	0.001127667	0.000524047	0.002951627	0.000562783
Subdoligranulum	0.000134403	0.001323366	0.005213325	0.003449403	0.001733662	0.002790179	0.00131253	0.003296425	0.002763625	0.000761413
Porphyromonas	0	0	0.001322498	0	0.002362539	0	0	0	0.002613224	0
Terrisporobacter	0.008774625	0.002968633	0.00375666	0.001288987	0	0.002730389	0	0.002501902	0.001823617	0.000728308
Cloacibacterium	0.004224108	1.79E-05	0.002127496	0	0.003994221	0.001375159	0	0.002772378	0.007538869	0.002035952
Kocuria	0.001977651	7.15E-05	0.001437498	0.000744345	0.000832838	0.003527583	0.000683995	0.013878793	0.000658006	0.00107591
Ruminiclostridium	0	1.79E-05	0	0.003794343	0.001614685	7.97E-05	1.85E-05	0	0.000996409	0.00107591
uncultured_bacterium_f_Clostridiales_vadinBB60_group	0	0.003004399	0.002702495	0.001397916	0	0.003348214	1.85E-05	0.000456428	0.000958809	0.000496574
uncultured_bacterium_k_Bacteria	0.000672017	0.000357667	7.67E-05	0.001652082	0.000747854	0.000219228	0.000110918	0	0	0.002946337
Ruminococcaceae_UCG-002	0.003168081	0	0.001801664	0	0.001206765	1.99E-05	0	0.00260333	0.002688425	0.000446916
uncultured_bacterium_f_F082	0	0	0.004868325	0.002723213	1.70E-05	0	0.002551115	0	0	0.000231734
Microbacterium	0.005836949	0	0.005174991	0.000580952	0.002073596	0.001793686	0.002680519	0.002045474	0.001259612	0.001373854
Parabacteroides	0.00272647	0.001001466	0	0.001524999	0.001614685	0	0.001035235	0	0.00323363	0.00182077
